,new_module_area_per_day,current_seaweed_need,current_area_built,current_area_used,current_seaweed,current_density,cumulative_harvest_for_food,harvest_intervall,seaweed_remaining_to_grow,harvest_wet,harvest_wet_with_loss,harvest_for_food,new_area_used,max_area,cluster,seaweed_needed_per_day
0,0.0,0.0,100.0,100.0,13957.61122271509,139.5761122271509,0.0,,,,,,,23625.62633939148,1,3858750.0
1,0.0,0.0,100.0,100.0,19481.49110444622,194.8149110444622,0.0,,,,,,,23625.62633939148,1,3858750.0
2,0.0,0.0,100.0,100.0,27191.507887464275,271.91507887464275,0.0,,,,,,,23625.62633939148,1,3858750.0
3,0.0,0.0,100.0,100.0,37952.84956526172,379.5284956526172,0.0,,,,,,,23625.62633939148,1,3858750.0
4,0.0,0.0,100.0,100.0,52973.11190261145,529.7311190261145,0.0,,,,,,,23625.62633939148,1,3858750.0
5,0.0,0.0,100.0,100.0,72587.98130985218,725.8798130985218,0.0,,,,,,,23625.62633939148,1,3858750.0
6,0.0,0.0,100.0,100.0,96892.89503902032,968.9289503902032,0.0,,,,,,,23625.62633939148,1,3858750.0
7,0.0,0.0,100.0,100.0,125532.80406781414,1255.3280406781414,0.0,,,,,,,23625.62633939148,1,3858750.0
8,0.0,0.0,100.0,100.0,157568.13387376943,1575.6813387376942,0.0,,,,,,,23625.62633939148,1,3858750.0
9,0.0,0.0,100.0,100.0,191684.90064591775,1916.8490064591774,0.0,,,,,,,23625.62633939148,1,3858750.0
10,0.0,0.0,100.0,100.0,226524.8557992757,2265.248557992757,0.0,,,,,,,23625.62633939148,1,3858750.0
11,0.0,0.0,100.0,100.0,260958.6231156372,2609.586231156372,0.0,,,,,,,23625.62633939148,1,3858750.0
12,0.0,0.0,100.0,100.0,294203.4658626512,2942.034658626512,0.0,,,,,,,23625.62633939148,1,3858750.0
13,0.0,0.0,100.0,100.0,325806.8223380429,3258.068223380429,0.0,,,,,,,23625.62633939148,1,3858750.0
14,0.0,0.0,100.0,100.0,355566.999449991,3555.66999449991,0.0,,,,,,,23625.62633939148,1,3858750.0
15,0.0,0.0,100.0,100.0,383447.02530833636,3834.470253083364,0.0,,,,,,,23625.62633939148,1,3858750.0
16,0.0,0.0,100.0,100.0,100000.0,4095.063005538265,247605.0404430612,16.0,100000.0,309506.3005538265,247605.0404430612,247605.0404430612,0.0,23625.62633939148,1,3858750.0
17,0.0,0.0,100.0,100.0,105945.64124845964,1059.4564124845963,247605.0404430612,,,,,,,23625.62633939148,1,3858750.0
18,0.0,0.0,100.0,100.0,135840.32095210804,1358.4032095210805,247605.0404430612,,,,,,,23625.62633939148,1,3858750.0
19,0.0,0.0,100.0,100.0,168720.65607599812,1687.2065607599811,247605.0404430612,,,,,,,23625.62633939148,1,3858750.0
20,0.0,0.0,100.0,100.0,203220.78230054153,2032.2078230054153,247605.0404430612,,,,,,,23625.62633939148,1,3858750.0
21,0.0,0.0,100.0,100.0,238035.00132704535,2380.3500132704535,247605.0404430612,,,,,,,23625.62633939148,1,3858750.0
22,0.0,0.0,100.0,100.0,272143.74261249334,2721.4374261249336,247605.0404430612,,,,,,,23625.62633939148,1,3858750.0
23,0.0,0.0,100.0,100.0,304880.1723242204,3048.8017232422044,247605.0404430612,,,,,,,23625.62633939148,1,3858750.0
